import time: self [us] | cumulative | imported package
import time:       899 |        899 |                                     yaml.resolver
import time:       298 |       5291 |                                   yaml.loader
import time:       319 |        319 |                                     yaml.emitter
import time:       140 |        140 |                                     yaml.serializer
import time:       228 |        228 |                                     yaml.representer
import time:       234 |        919 |                                   yaml.dumper
import time:       405 |        405 |                                     yaml._yaml
import time:       312 |        716 |                                   yaml.cyaml
import time:       237 |       8323 |                                 yaml
import time:       119 |        119 |                                 donfig._lock
import time:       193 |       8860 |                               donfig.config_obj
import time:       126 |       9066 |                             donfig
import time:       394 |       9459 |                           zarr.core.config
import time:       255 |        255 |                                 zarr.errors
import time:       523 |        777 |                               zarr.core.common
import time:      1427 |       2203 |                             zarr.core.dtype.common
import time:       103 |        103 |                               zarr.core.dtype.npy
import time:       479 |        479 |                               zarr.core.dtype.wrapper
import time:       588 |       1170 |                             zarr.core.dtype.npy.bool
import time:       186 |        186 |                               zarr.core.dtype.npy.common
import time:      1445 |       1631 |                             zarr.core.dtype.npy.bytes
import time:      1157 |       1157 |                             zarr.core.dtype.npy.complex
import time:      1354 |       1354 |                             zarr.core.dtype.npy.float
import time:      3137 |       3137 |                             zarr.core.dtype.npy.int
import time:       657 |        657 |                             zarr.core.dtype.npy.structured
import time:      1699 |       1699 |                             zarr.core.dtype.npy.time
import time:      1139 |       1139 |                             zarr.core.dtype.npy.string
import time:       439 |        439 |                             zarr.core.dtype.registry
import time:       368 |      14951 |                           zarr.core.dtype
import time:     10606 |      35015 |                         zarr.registry
import time:       213 |      35228 |                       zarr.core.buffer.cpu
import time:       121 |      35796 |                     zarr.core.buffer
import time:       408 |        408 |                         zarr.abc.metadata
import time:       486 |        893 |                       zarr.abc.codec
import time:       167 |        167 |                             zarr.abc.numcodec
import time:       927 |        927 |                             zarr.core.chunk_grids
import time:       991 |        991 |                             zarr.core.array_spec
import time:      1230 |       1230 |                             zarr.core.chunk_key_encodings
import time:        96 |         96 |                             zarr.core.metadata.common
import time:      1064 |       4472 |                           zarr.core.metadata.v2
import time:      1116 |       1116 |                           zarr.core.metadata.v3
import time:      2565 |       8153 |                         zarr.core.metadata
import time:      6571 |      14724 |                       zarr.core.indexing
import time:       628 |      16244 |                     zarr.core.codec_pipeline
import time:       113 |      52152 |                   zarr.core
import time:        97 |         97 |                             numcodecs.abc
import time:        76 |         76 |                             numcodecs.errors
import time:      7256 |       7427 |                           numcodecs.registry
import time:        90 |         90 |                           numcodecs.version
import time:       207 |        207 |                               numcodecs.ndarray_like
import time:        79 |        286 |                             numcodecs.compat
import time:        85 |        370 |                           numcodecs.zlib
import time:       385 |        385 |                             gzip
import time:        94 |        478 |                           numcodecs.gzip
import time:        78 |         78 |                           numcodecs.bz2
import time:        75 |         75 |                           numcodecs.lzma
import time:       107 |        107 |                             numcodecs.compat_ext
import time:       384 |        491 |                           numcodecs.blosc
import time:       241 |        241 |                           numcodecs.zstd
import time:       160 |        160 |                           numcodecs.lz4
import time:       105 |        105 |                           numcodecs.astype
import time:        84 |         84 |                           numcodecs.delta
import time:        91 |         91 |                           numcodecs.quantize
import time:        84 |         84 |                           numcodecs.fixedscaleoffset
import time:        70 |         70 |                           numcodecs.packbits
import time:        78 |         78 |                           numcodecs.categorize
import time:        68 |         68 |                           numcodecs.pickles
import time:        61 |         61 |                           numcodecs.base64
import time:       233 |        233 |                             numcodecs._shuffle
import time:        88 |        321 |                           numcodecs.shuffle
import time:        94 |         94 |                           numcodecs.bitround
import time:       216 |        216 |                             numcodecs.jenkins
import time:        76 |         76 |                                 google_crc32c.__config__
import time:       164 |        164 |                                 google_crc32c._crc32c
import time:        96 |         96 |                                 google_crc32c._checksum
import time:       150 |        484 |                               google_crc32c.cext
import time:        96 |        580 |                             google_crc32c
import time:       379 |       1174 |                           numcodecs.checksum32
import time:       115 |        115 |                           numcodecs.json
import time:       480 |        480 |                           numcodecs.vlen
import time:       247 |        247 |                           numcodecs.fletcher32
import time:       242 |        242 |                           numcodecs.zfpy
import time:       161 |        161 |                               msgpack.exceptions
import time:       201 |        201 |                               msgpack.ext
import time:       242 |        242 |                               msgpack._cmsgpack
import time:       121 |        724 |                             msgpack
import time:       111 |        834 |                           numcodecs.msgpacks
import time:        46 |         46 |                             pcodec
import time:       104 |        149 |                           numcodecs.pcodec
import time:       347 |      14043 |                         numcodecs
import time:        84 |         84 |                           packaging
import time:       107 |        107 |                           packaging._structures
import time:      1290 |       1480 |                         packaging.version
import time:      1068 |      16590 |                       zarr.codecs.blosc
import time:       538 |        538 |                       zarr.codecs.bytes
import time:       332 |        332 |                       zarr.codecs.crc32c_
import time:       378 |        378 |                       zarr.codecs.gzip
import time:        87 |         87 |                           zarr.dtype
import time:       880 |        967 |                         zarr.codecs.numcodecs._codecs
import time:       118 |       1085 |                       zarr.codecs.numcodecs
import time:      1796 |       1796 |                       zarr.codecs.sharding
import time:       440 |        440 |                       zarr.codecs.transpose
import time:       861 |        861 |                       zarr.codecs.vlen_utf8
import time:       470 |        470 |                       zarr.codecs.zstd
import time:       289 |      22775 |                     zarr.codecs
import time:       502 |      23276 |                   zarr.codecs._v2
import time:      1230 |       1230 |                   zarr.core._info
import time:       155 |        155 |                   zarr.core.attributes
import time:       178 |        178 |                           zarr.storage._local
import time:        48 |         48 |                               cupy
import time:       152 |        199 |                             zarr.core.buffer.gpu
import time:       101 |        101 |                             zarr.storage._utils
