import time: self [us] | cumulative | imported package
import time:       167 |        167 |                     meshio.gmsh._gmsh41
import time:       126 |        596 |                   meshio.gmsh.main
import time:        91 |       1101 |                 meshio.gmsh
import time:       178 |        178 |                   meshio.mdpa._mdpa
import time:        76 |        254 |                 meshio.mdpa
import time:       186 |        186 |                   meshio.ply._ply
import time:        85 |        271 |                 meshio.ply
import time:       140 |        140 |                   meshio.stl._stl
import time:        79 |        218 |                 meshio.stl
import time:       338 |        338 |                       meshio._vtk_common
import time:       233 |        570 |                     meshio.vtk._vtk_42
import time:       222 |        222 |                     meshio.vtk._vtk_51
import time:       126 |        918 |                   meshio.vtk._main
import time:        75 |        992 |                 meshio.vtk
import time:       295 |        295 |                   meshio.vtu._vtu
import time:        98 |        393 |                 meshio.vtu
import time:       119 |        119 |                     meshio.xdmf.common
import time:       226 |        345 |                   meshio.xdmf.main
import time:       195 |        195 |                   meshio.xdmf.time_series
import time:        89 |        628 |                 meshio.xdmf
import time:       181 |       7962 |               meshio._cli._ascii
import time:        87 |         87 |               meshio._cli._binary
import time:       104 |        104 |                   meshio.cgns._cgns
import time:        99 |        203 |                 meshio.cgns
import time:       122 |        122 |                   meshio.h5m._h5m
import time:        73 |        194 |                 meshio.h5m
import time:        96 |        492 |               meshio._cli._compress
import time:        71 |         71 |               meshio._cli._convert
import time:        77 |         77 |               meshio._cli._decompress
import time:        56 |         56 |               meshio._cli._info
import time:       161 |      10758 |             meshio._cli._main
import time:       121 |      10879 |           meshio._cli
import time:       198 |        198 |             meshio.abaqus._abaqus
import time:        78 |        276 |           meshio.abaqus
import time:       155 |        155 |             meshio.avsucd._avsucd
import time:        75 |        230 |           meshio.avsucd
import time:       148 |        148 |             meshio.dolfin._dolfin
import time:        80 |        227 |           meshio.dolfin
import time:       176 |        176 |             meshio.exodus._exodus
import time:        74 |        249 |           meshio.exodus
import time:       126 |        126 |             meshio.hmf._hmf
import time:        87 |        213 |           meshio.hmf
import time:       203 |        203 |             meshio.med._med
import time:        83 |        286 |           meshio.med
import time:       196 |        196 |               meshio.medit._medit_internal
import time:       188 |        383 |             meshio.medit._medit
import time:        77 |        460 |           meshio.medit
import time:       191 |        191 |             meshio.nastran._nastran
import time:        81 |        272 |           meshio.nastran
import time:       186 |        186 |             meshio.netgen._netgen
import time:        75 |        261 |           meshio.netgen
