import time: self [us] | cumulative | imported package
import time:       105 |        105 |           attr._next_gen
import time:       379 |        379 |           attr._version_info
import time:       263 |       7342 |         attr
import time:        98 |         98 |         rich.abc
import time:      1555 |       8994 |       rich.pretty
import time:       211 |        211 |       rich.region
import time:       198 |        198 |           rich.box
import time:       150 |        150 |           rich.padding
import time:       185 |        532 |         rich.panel
import time:       900 |        900 |             fractions
import time:       168 |       1067 |           rich._ratio
import time:      1262 |       2329 |         rich.table
import time:       115 |       2974 |       rich.scope
import time:       128 |        128 |       rich.screen
import time:        91 |         91 |       rich.styled
import time:      2294 |      27441 |     rich.console
import time:       264 |     152747 |   celeri.celeri_util
import time:       463 |        463 |       gettext
import time:       988 |       1450 |     argparse
import time:      1223 |       1223 |                 typing_extensions
import time:       626 |        626 |                 pydantic_core._pydantic_core
import time:      8798 |       8798 |                 pydantic_core.core_schema
import time:       411 |      11057 |               pydantic_core
import time:        89 |      11145 |             pydantic.version
import time:       201 |      11345 |           pydantic.warnings
import time:       216 |      11561 |         pydantic._migration
import time:        91 |         91 |             typing_inspection
import time:       814 |        814 |             typing_inspection.typing_objects
import time:       584 |       1488 |           typing_inspection.introspection
import time:        98 |         98 |           pydantic._internal
import time:       253 |        253 |               pydantic._internal._namespace_utils
import time:       275 |        527 |             pydantic._internal._typing_extra
import time:       189 |        716 |           pydantic._internal._repr
import time:       301 |       2601 |         pydantic.errors
import time:       213 |      14374 |       pydantic
import time:        51 |         51 |           pydantic._internal._internal_dataclass
import time:       756 |        806 |         pydantic.aliases
import time:       892 |        892 |         pydantic.config
import time:       203 |       1900 |       pydantic._internal._config
import time:       168 |        168 |         pydantic._internal._core_utils
import time:        78 |         78 |           pydantic._internal._import_utils
import time:       676 |        754 |         pydantic._internal._utils
import time:      2370 |       3291 |       pydantic._internal._decorators
import time:       337 |        337 |           pydantic._internal._forward_ref
import time:       301 |        638 |         pydantic._internal._generics
import time:       135 |        135 |         pydantic._internal._docs_extraction
import time:       248 |       1019 |       pydantic._internal._fields
import time:       367 |        367 |           pydantic.plugin
import time:       180 |        547 |         pydantic.plugin._schema_validator
import time:       218 |        764 |       pydantic._internal._mock_val_ser
import time:       198 |        198 |             _uuid
import time:       335 |        533 |           uuid
import time:       172 |        172 |             zoneinfo._tzpath
import time:       120 |        120 |             zoneinfo._common
import time:       136 |        136 |             _zoneinfo
import time:       128 |        554 |           zoneinfo
import time:       108 |        108 |           pydantic.annotated_handlers
import time:      2130 |       2130 |           pydantic.functional_validators
import time:       205 |        205 |             pydantic._internal._core_metadata
import time:       131 |        131 |             pydantic._internal._schema_generation_shared
